full_name,stars,forks,open_issues,created_at,pushed_at,language,license,description
CorentinJ/Real-Time-Voice-Cloning,60048,9398,175,2019-05-26T08:56:15Z,2026-03-09T10:31:58Z,Python,Other,Clone a voice in 5 seconds to generate arbitrary speech in real-time
ultralytics/ultralytics,59752,11425,160,2022-09-11T16:39:45Z,2026-07-22T17:02:12Z,Python,GNU Affero General Public License v3.0,"Ultralytics YOLO26, YOLO11, YOLOv8 — object detection, instance segmentation, semantic segmentation, image classification, pose estimation, object tracking"
ultralytics/yolov5,57710,17471,30,2020-05-18T03:45:11Z,2026-07-21T10:14:39Z,Python,GNU Affero General Public License v3.0,"Ultralytics YOLOv5 in PyTorch for object detection, instance segmentation, classification, training, and export."
deepfakes/faceswap,55358,13353,9,2017-12-19T09:44:13Z,2026-07-06T00:36:36Z,Python,GNU General Public License v3.0,Deepfakes Software For All
microsoft/AI-For-Beginners,52646,10668,6,2021-03-03T16:27:36Z,2026-07-21T11:11:48Z,Jupyter Notebook,MIT License,"12 Weeks, 24 Lessons, AI for All!"
Avik-Jain/100-Days-Of-ML-Code,51534,11590,68,2018-07-05T09:11:43Z,2023-12-29T07:57:53Z,,MIT License,100 Days of ML Coding
GokuMohandas/Made-With-ML,48842,7683,27,2018-11-05T03:44:27Z,2026-03-04T23:44:21Z,Jupyter Notebook,MIT License,"Learn how to develop, deploy and iterate on production-grade ML applications."
roboflow/supervision,48283,4430,80,2022-11-28T14:08:44Z,2026-07-22T08:27:48Z,Python,MIT License,We write your reusable computer vision tools. 💜
microsoft/qlib,46524,7405,466,2020-08-14T06:46:00Z,2026-04-22T07:08:01Z,Python,MIT License,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process."
coqui-ai/TTS,45794,6150,5,2020-05-20T15:45:28Z,2024-08-16T12:07:14Z,Python,Mozilla Public License 2.0,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production"
streamlit/streamlit,45311,4330,1198,2019-08-24T00:14:52Z,2026-07-22T17:38:56Z,Python,Apache License 2.0,Streamlit — A faster way to build and share data apps.
aymericdamien/TensorFlow-Examples,43741,14687,228,2015-11-11T14:21:19Z,2024-07-26T19:46:13Z,Jupyter Notebook,Other,TensorFlow Tutorial and Examples for Beginners (support TF v1 & v2)
ray-project/ray,43317,7818,3483,2016-10-25T19:38:30Z,2026-07-22T17:20:18Z,Python,Apache License 2.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
gradio-app/gradio,43185,3557,218,2018-12-19T08:24:04Z,2026-07-22T17:13:27Z,Python,Apache License 2.0,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
deepspeedai/DeepSpeed,42773,4900,1300,2020-01-23T18:35:18Z,2026-07-22T17:08:14Z,Python,Apache License 2.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
rohitg00/ai-engineering-from-scratch,42061,7007,105,2026-03-18T18:38:02Z,2026-06-25T19:43:11Z,Python,MIT License,Learn it. Build it. Ship it for others.
hpcaitech/ColossalAI,41419,4502,502,2021-10-28T16:19:44Z,2026-07-13T18:00:17Z,Python,Apache License 2.0,"Making large AI models cheaper, faster and more accessible"
floodsung/Deep-Learning-Papers-Reading-Roadmap,39550,7274,91,2016-10-14T11:49:48Z,2022-11-27T13:18:32Z,Python,,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!
naptha/tesseract.js,38553,2374,46,2015-06-24T02:49:52Z,2026-05-17T04:19:12Z,JavaScript,Apache License 2.0,Pure Javascript OCR for more than 100 Languages 📖🎉🖥
TencentARC/GFPGAN,37628,6287,404,2021-03-19T06:18:20Z,2024-07-26T18:44:02Z,Python,Other,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.
babysor/MockingBird,36924,5196,482,2021-08-07T03:53:39Z,2026-03-03T14:59:58Z,Python,Other,🚀Clone a voice in 5 seconds to generate arbitrary speech in real-time
google-ai-edge/mediapipe,36225,6078,561,2019-06-13T19:16:41Z,2026-07-17T16:28:14Z,C++,Apache License 2.0,"Cross-platform, customizable ML solutions for live and streaming media."
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,35621,7370,67,2021-01-02T12:08:37Z,2025-08-01T11:54:09Z,,,500 AI Machine learning Deep learning Computer vision NLP Projects with code
BVLC/caffe,34575,18447,1384,2013-09-12T18:39:48Z,2024-07-31T23:10:28Z,C++,Other,Caffe: a fast open framework for deep learning.
CMU-Perceptual-Computing-Lab/openpose,34308,8041,359,2017-04-24T14:06:31Z,2024-08-03T01:59:11Z,C++,Other,"OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation"
huggingface/diffusers,34133,7175,1294,2022-05-30T16:04:02Z,2026-07-22T11:32:44Z,Python,Apache License 2.0,"🤗 Diffusers: State-of-the-art diffusion models for image, video, and audio generation in PyTorch."
openai/CLIP,34048,4038,274,2020-12-16T11:24:42Z,2026-03-25T18:46:40Z,Jupyter Notebook,MIT License,"CLIP (Contrastive Language-Image Pretraining),  Predict the most relevant text snippet given an image"
explosion/spaCy,33764,4699,230,2014-07-03T15:15:40Z,2026-05-19T06:48:57Z,Python,MIT License,💫 Industrial-strength Natural Language Processing (NLP) in Python
mli/paper-reading,33600,2810,1,2021-10-22T06:34:51Z,2025-03-22T03:49:35Z,,Apache License 2.0,深度学习经典、新论文逐段精读
lutzroeder/netron,33252,3164,19,2010-12-26T12:53:43Z,2026-07-22T17:08:49Z,JavaScript,MIT License,"Visualizer for neural network, deep learning and machine learning models"
yunjey/pytorch-tutorial,32428,8237,89,2017-03-10T07:41:47Z,2023-08-15T10:17:50Z,Python,MIT License,PyTorch Tutorial for Deep Learning Researchers
eriklindernoren/ML-From-Scratch,32330,5413,76,2017-02-05T12:11:23Z,2023-10-15T06:05:06Z,Python,MIT License,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.
Lightning-AI/pytorch-lightning,31245,3766,1056,2019-03-31T00:45:57Z,2026-07-20T12:18:30Z,Python,Apache License 2.0,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
AMAI-GmbH/AI-Expert-Roadmap,31155,2580,19,2020-10-24T21:49:40Z,2025-09-12T14:59:30Z,JavaScript,MIT License,Roadmap to becoming an Artificial Intelligence Expert in 2022
tatsu-lab/stanford_alpaca,30252,3985,188,2023-03-10T23:33:09Z,2024-07-17T09:43:05Z,Python,Apache License 2.0,"Code and documentation to train Stanford's Alpaca models, and generate the data."
eugeneyan/applied-ml,29944,3968,9,2020-07-04T18:57:47Z,2024-07-18T22:41:02Z,,MIT License,📚 Papers & tech blogs by companies sharing their work on data science & machine learning in production.
JaidedAI/EasyOCR,29806,3583,528,2020-03-14T11:46:39Z,2025-12-05T12:23:12Z,Python,Apache License 2.0,"Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc."
academic/awesome-datascience,29672,6599,4,2014-07-05T07:07:43Z,2026-07-21T13:44:44Z,,MIT License,:memo: An awesome Data Science repository to learn and apply for real world problems.
donnemartin/data-science-ipython-notebooks,29252,8027,46,2015-01-23T19:38:29Z,2024-03-20T13:52:34Z,Python,Other,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines."
d2l-ai/d2l-en,29209,5092,207,2018-10-09T01:04:37Z,2024-08-18T08:02:36Z,Python,Other,"Interactive deep learning book with multi-framework code, math, and discussions. Adopted at 500 universities from 70 countries including Stanford, MIT, Harvard, and Cambridge."
ZuzooVn/machine-learning-for-software-engineers,28830,6155,32,2016-10-09T21:20:25Z,2024-06-11T04:49:29Z,,Creative Commons Attribution Share Alike 4.0 International,A complete daily plan for studying to become a machine learning engineer.
ChristosChristofidis/awesome-deep-learning,28653,6365,86,2015-01-02T19:28:35Z,2025-05-26T12:28:00Z,,,"A curated list of awesome Deep Learning tutorials, projects and communities."
deezer/spleeter,28334,3060,278,2019-09-26T15:40:46Z,2026-06-18T15:22:32Z,Python,MIT License,Deezer source separation library including pretrained models.
svc-develop-team/so-vits-svc,28150,5050,27,2023-03-10T09:31:09Z,2023-11-11T13:11:31Z,Python,GNU Affero General Public License v3.0,SoftVC VITS Singing Voice Conversion
fastai/fastai,28086,7652,266,2017-09-09T17:43:36Z,2026-07-11T07:43:19Z,Jupyter Notebook,Apache License 2.0,The fastai deep learning library
HumanSignal/label-studio,27904,3634,903,2019-06-19T02:00:44Z,2026-07-22T00:22:13Z,TypeScript,Apache License 2.0,Label Studio is a multi-type data labeling and annotation tool with standardized output format
harvard-edge/cs249r_book,27541,3331,16,2023-09-06T19:31:06Z,2026-07-19T05:46:23Z,Python,Other,Machine Learning Systems
mozilla/DeepSpeech,26773,4081,151,2016-06-02T15:04:53Z,2025-06-19T12:52:51Z,C++,Mozilla Public License 2.0,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices ranging from a Raspberry Pi 4 to high power GPU servers."
WZMIAOMIAO/deep-learning-for-image-processing,26324,8190,103,2019-11-14T15:02:27Z,2026-01-01T07:16:34Z,Python,GNU General Public License v3.0,deep learning for image processing including classification and object-detection etc.
terryum/awesome-deep-learning-papers,26169,4426,38,2016-06-03T06:48:30Z,2024-01-18T13:29:44Z,TeX,,The most cited deep learning papers
shap/shap,25631,3731,1038,2016-11-22T19:17:08Z,2026-07-21T05:17:59Z,Jupyter Notebook,MIT License,A game theoretic approach to explain the output of any machine learning model.
ageron/handson-ml,25599,12756,145,2016-02-16T19:48:39Z,2026-05-19T23:03:15Z,Jupyter Notebook,Apache License 2.0,⛔️ DEPRECATED – See https://github.com/ageron/handson-ml3 or handson-mlp instead.
junyanz/pytorch-CycleGAN-and-pix2pix,25203,6567,590,2017-04-18T10:33:05Z,2025-08-06T17:58:38Z,Python,Other,Image-to-Image Translation in PyTorch
fastai/fastbook,25144,9486,179,2020-02-28T19:26:47Z,2024-08-16T14:38:24Z,Jupyter Notebook,Other,"The fastai book, published as Jupyter Notebooks"
microsoft/JARVIS,25077,2189,3686,2023-03-30T02:57:12Z,2025-07-29T13:44:13Z,Python,MIT License,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
HumanSignal/labelImg,25054,6570,451,2015-09-17T01:33:59Z,2024-06-07T20:24:32Z,Python,MIT License,"LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer actively being developed, but you can check out Label Studio, the open source data labeling tool for images, text, hypertext, audio, video and time-series data."
SYSTRAN/faster-whisper,24452,1991,314,2023-02-11T09:17:27Z,2025-11-19T14:40:46Z,Python,MIT License,Faster Whisper transcription with CTranslate2
PaddlePaddle/Paddle,24023,6010,1556,2016-08-15T06:59:08Z,2026-07-22T07:46:24Z,C++,Apache License 2.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）
pyg-team/pytorch_geometric,23906,4015,1298,2017-10-06T16:03:03Z,2026-07-22T00:08:57Z,Python,MIT License,Graph Neural Network Library for PyTorch
lukasmasuch/best-of-ml-python,23695,3138,50,2020-11-29T19:41:36Z,2026-07-16T15:39:46Z,,Creative Commons Attribution Share Alike 4.0 International,🏆 A ranked list of awesome machine learning Python libraries. Updated weekly.
Tencent/ncnn,23567,4465,1174,2017-06-30T10:55:37Z,2026-07-22T06:13:14Z,C++,Other,ncnn is a high-performance neural network inference framework optimized for the mobile platform
serengil/deepface,23136,3141,12,2020-02-08T20:42:28Z,2026-06-29T11:52:30Z,Python,MIT License,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python"
spmallick/learnopencv,23037,11680,219,2015-02-17T08:00:51Z,2026-07-22T10:07:28Z,Jupyter Notebook,,Learn OpenCV  : C++ and Python Examples
AccumulateMore/CV,22822,2579,26,2022-03-31T13:19:32Z,2026-06-30T14:36:23Z,Jupyter Notebook,,✅（已完结）超级全面的 深度学习 笔记【土堆 Pytorch】【李沐 动手学深度学习】【吴恩达 深度学习】【大飞 大模型Agent】
amusi/CVPR2026-Papers-with-Code,22765,2801,29,2020-02-26T06:04:25Z,2026-03-08T07:27:34Z,,,CVPR 2026 论文和开源项目合集
MLEveryday/100-Days-Of-ML-Code,22242,5489,17,2018-08-05T13:32:48Z,2022-04-06T12:01:37Z,Jupyter Notebook,MIT License,100-Days-Of-ML-Code中文版
jina-ai/serve,21862,2242,27,2020-02-13T17:04:44Z,2025-03-24T13:59:54Z,Python,Apache License 2.0,☁️ Build multimodal AI applications with cloud-native stack
recommenders-team/recommenders,21848,3324,177,2018-09-19T10:06:07Z,2026-07-21T16:01:35Z,Python,MIT License,Best Practices on Recommendation Systems
huggingface/datasets,21743,3305,1186,2020-03-26T09:23:22Z,2026-07-22T17:35:55Z,Python,Apache License 2.0,"🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools"
zergtant/pytorch-handbook,21678,5409,60,2018-12-03T02:57:04Z,2024-07-25T07:17:26Z,Jupyter Notebook,,pytorch handbook是一本开源的书籍，目标是帮助那些希望和使用PyTorch进行深度学习开发和研究的朋友快速入门，其中包含的Pytorch教程全部通过测试保证可以成功运行
onnx/onnx,21194,3973,280,2017-09-07T04:53:45Z,2026-07-22T08:01:43Z,Python,Apache License 2.0,Open standard for machine learning interoperability
microsoft/onnxruntime,21161,4063,1453,2018-11-10T02:22:53Z,2026-07-22T17:13:01Z,C++,MIT License,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator"
EthicalML/awesome-production-machine-learning,20796,2593,33,2018-08-15T14:28:41Z,2026-07-14T20:54:26Z,,MIT License,"A curated list of awesome open source libraries to deploy, monitor, version and scale your machine learning"
stefan-jansen/machine-learning-for-trading,20022,5433,0,2018-05-09T12:33:08Z,2026-07-20T18:02:16Z,Jupyter Notebook,MIT License,"Code for Machine Learning for Trading, 3rd edition — from data sourcing to live execution."
afshinea/stanford-cs-229-machine-learning,19886,4215,20,2018-08-04T23:01:00Z,2020-05-20T04:57:25Z,,MIT License,VIP cheatsheets for Stanford's CS 229 Machine Learning
Unity-Technologies/ml-agents,19572,4474,18,2017-09-08T21:09:04Z,2026-07-22T17:32:22Z,C#,Other,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.
ShusenTang/Dive-into-DL-PyTorch,19434,5401,78,2019-02-21T03:45:20Z,2021-10-14T08:59:15Z,Jupyter Notebook,Apache License 2.0,本项目将《动手学深度学习》(Dive into Deep Learning)原书中的MXNet实现改为PyTorch实现。
iperov/DeepFaceLab,19298,920,537,2018-06-04T13:10:00Z,2024-11-13T19:29:05Z,Python,GNU General Public License v3.0,DeepFaceLab is the leading software for creating deepfakes.
tensorflow/tfjs,19135,2027,563,2018-03-05T05:41:02Z,2026-06-23T00:04:38Z,TypeScript,Apache License 2.0,A WebGL accelerated JavaScript library for training and deploying ML models.
nndl/nndl,18987,3666,4,2016-09-06T08:09:06Z,2026-06-01T16:59:06Z,,,邱锡鹏《神经网络与深度学习》（蒲公英书）理论书 v2 与通识版
keon/awesome-nlp,18848,2852,8,2015-12-01T11:11:33Z,2026-07-11T20:57:17Z,,Creative Commons Zero v1.0 Universal,:book: A curated list of resources dedicated to Natural Language Processing (NLP)
mlc-ai/web-llm,18434,1332,148,2023-04-13T18:11:59Z,2026-06-09T03:38:30Z,TypeScript,Apache License 2.0,High-performance In-browser LLM Inference Engine 
mrdbourke/pytorch-deep-learning,18430,5055,159,2021-10-19T00:49:19Z,2026-02-11T11:11:15Z,Jupyter Notebook,MIT License,Materials for the Learn PyTorch for Deep Learning: Zero to Mastery course.
UFund-Me/Qbot,18130,2553,71,2022-11-23T01:37:43Z,2026-03-11T12:16:42Z,Jupyter Notebook,MIT License,[🔥updating ...] AI 自动量化交易机器人(完全本地部署) AI-powered Quantitative Investment Research Platform. 📃 online docs: https://ufund-me.github.io/Qbot   ✨ :news: qbot-mini: https://github.com/Charmve/iQuant
ujjwalkarn/Machine-Learning-Tutorials,18029,3973,48,2015-09-12T14:51:38Z,2024-06-12T08:11:59Z,,Creative Commons Zero v1.0 Universal,"machine learning and deep learning tutorials, articles and other resources "
NLP-LOVE/ML-NLP,17774,4631,36,2019-07-05T12:49:53Z,2026-01-09T15:16:21Z,Jupyter Notebook,,此项目是机器学习(Machine Learning)、深度学习(Deep Learning)、NLP面试中常考到的知识点和代码实现，也是作为一个算法工程师必会的理论基础知识。
Mikoto10032/DeepLearning,17632,3881,15,2018-04-09T15:53:37Z,2022-04-21T03:24:43Z,Jupyter Notebook,Apache License 2.0,"深度学习入门教程, 优秀文章, Deep Learning Tutorial"
microsoft/CNTK,17601,4226,839,2015-11-26T09:52:06Z,2023-03-11T07:31:35Z,C++,Other,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit"
liyupi/ai-guide,17572,1986,4,2025-02-13T05:47:46Z,2026-07-21T08:31:40Z,JavaScript,,程序员鱼皮的 AI 资源大全 + Vibe Coding 零基础教程，分享 OpenClaw 保姆级教程、大模型玩法（DeepSeek / GPT / Gemini / Claude / GLM）、最新 AI 资讯、Prompt 提示词大全、AI 知识百科（Agent Skills / RAG / MCP / A2A）、AI 编程教程（Harness Engineering）、AI 工具用法（Cursor / Claude Code / TRAE / Codex / Copilot）、AI 开发框架教程（Spring AI / LangChain）、AI 产品变现指南，帮你快速掌握 AI 技术，走在时代前沿。本项目为开源文档 aiguide，已升级为鱼皮 AI 导航网站
camel-ai/camel,17464,2017,457,2023-03-17T21:41:54Z,2026-07-22T15:12:33Z,Python,Apache License 2.0,🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org
tensorflow/tensor2tensor,17449,3759,589,2017-06-15T16:57:39Z,2023-06-02T18:55:09Z,Python,Apache License 2.0,Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research.
dair-ai/ml-visuals,17343,1557,46,2020-05-17T13:42:29Z,2023-02-13T22:23:17Z,,MIT License,🎨 ML Visuals contains figures and templates which you can reuse and customize to improve your scientific writing.
dair-ai/ML-YouTube-Courses,17332,2119,21,2021-06-25T09:39:16Z,2024-01-22T15:52:28Z,,Creative Commons Zero v1.0 Universal,📺 Discover the latest machine learning / AI courses on YouTube.
google/magika,17267,1069,153,2023-08-22T09:36:55Z,2026-06-23T09:46:13Z,Python,Apache License 2.0,Fast and accurate AI powered file content types detection 
datawhalechina/leedl-tutorial,16700,3096,2,2019-07-02T01:05:11Z,2025-11-23T09:12:43Z,Jupyter Notebook,Other,《李宏毅深度学习教程》（李宏毅老师推荐👍，苹果书🍎），PDF下载地址：https://github.com/datawhalechina/leedl-tutorial/releases
bharathgs/Awesome-pytorch-list,16602,2840,23,2017-03-01T16:58:16Z,2026-02-01T07:01:10Z,,,"A comprehensive list of pytorch related content on github,such as different models,implementations,helper libraries,tutorials etc."
lukas-blecher/LaTeX-OCR,16502,1308,159,2020-12-11T16:35:13Z,2025-01-18T15:23:58Z,Python,MIT License,pix2tex: Using a ViT to convert images of equations into LaTeX code.
emilwallner/Screenshot-to-code,16479,1539,22,2017-10-16T11:41:48Z,2024-08-16T22:05:07Z,HTML,Other,A neural network that transforms a design mock-up into a static website.
cvat-ai/cvat,16360,3770,610,2018-06-29T14:02:45Z,2026-07-22T15:24:26Z,Python,MIT License,"Computer Vision Annotation Tool (CVAT) is a leading platform for building high-quality visual datasets for vision AI. It offers open-source, cloud, and enterprise products, as well as labeling services, for image, video, and 3D annotation with AI-assisted labeling, quality assurance, team collaboration, analytics, and developer APIs."
instillai/TensorFlow-Course,16286,3126,2,2018-10-02T18:10:12Z,2022-11-28T11:04:08Z,Jupyter Notebook,MIT License,:satellite: Simple and ready-to-use tutorials for TensorFlow 
wkentaro/labelme,16065,3689,162,2016-05-09T12:30:26Z,2026-07-22T12:03:52Z,Python,GNU General Public License v3.0,"Image annotation with Python. Supports polygon, rectangle, circle, line, point, and AI-assisted annotation."
camenduru/stable-diffusion-webui-colab,15933,2617,37,2022-10-05T02:45:59Z,2025-12-16T05:49:10Z,Jupyter Notebook,The Unlicense,stable diffusion webui colab
oxford-cs-deepnlp-2017/lectures,15859,3552,12,2017-02-06T11:32:46Z,2023-07-02T22:46:23Z,,, Oxford Deep NLP 2017 course
alibaba/MNN,15703,2388,64,2019-04-15T07:40:18Z,2026-07-22T13:17:28Z,C++,Apache License 2.0,"MNN: A blazing-fast, lightweight inference engine battle-tested by Alibaba, powering high-performance on-device LLMs and Edge AI."
tracel-ai/burn,15624,988,297,2022-07-18T23:11:45Z,2026-07-22T16:48:25Z,Rust,Apache License 2.0,"Burn is a next generation tensor library and Deep Learning Framework that doesn't compromise on flexibility, efficiency and portability."
cmusatyalab/openface,15431,3566,1,2015-09-16T12:47:27Z,2026-07-18T15:27:00Z,Lua,Apache License 2.0,Face recognition with deep neural networks.
kailashahirwar/cheatsheets-ai,15420,3383,12,2017-05-24T12:06:56Z,2019-10-19T12:33:06Z,,MIT License,Essential Cheat Sheets for deep learning and machine learning researchers https://medium.com/@kailashahirwar/essential-cheat-sheets-for-machine-learning-and-deep-learning-researchers-efb6a8ebd2e5
owainlewis/awesome-artificial-intelligence,15394,2426,73,2015-01-27T09:27:48Z,2026-07-19T19:12:31Z,Python,MIT License,"A curated list of Artificial Intelligence (AI) courses, books, video lectures and papers."
albumentations-team/albumentations,15321,1706,0,2018-06-06T03:10:50Z,2025-06-25T23:21:43Z,Python,MIT License,Fast and flexible image augmentation library. Paper about the library: https://www.mdpi.com/2078-2489/11/2/125
Unstructured-IO/unstructured,15184,1277,279,2022-09-26T21:53:41Z,2026-07-20T13:07:20Z,HTML,Apache License 2.0,"Convert documents to structured data effortlessly. Unstructured is open-source ETL solution for transforming complex documents into clean, structured formats for language models.  Visit our website to learn more about our enterprise grade Platform product for production grade workflows, partitioning, enrichments, chunking and embedding."
ty4z2008/Qix,15170,4583,0,2014-04-20T11:03:15Z,2026-03-30T04:00:48Z,,Other,Machine Learning、Deep Learning、PostgreSQL、Distributed System、Node.Js、Golang
AliaksandrSiarohin/first-order-model,15007,3267,318,2019-12-11T03:55:25Z,2024-11-14T03:16:41Z,Jupyter Notebook,MIT License,This repository contains the source code for the paper First Order Motion Model for Image Animation 
alphacep/vosk-api,14976,1734,599,2019-09-03T17:48:42Z,2026-07-02T20:03:34Z,Jupyter Notebook,Apache License 2.0,"Offline speech recognition API for Android, iOS, Raspberry Pi and servers with Python, Java, C# and Node"
NVIDIA/DeepLearningExamples,14831,3406,322,2018-05-02T17:04:05Z,2024-08-12T14:01:29Z,Jupyter Notebook,,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and performance on enterprise-grade infrastructure.
aleju/imgaug,14738,2450,312,2015-07-10T20:31:33Z,2024-07-30T01:38:33Z,Python,MIT License,Image augmentation for machine learning experiments.
horovod/horovod,14694,2234,406,2017-08-09T19:39:59Z,2026-06-20T15:05:57Z,Python,Other,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet."
BlinkDL/RWKV-LM,14633,1011,154,2021-08-08T06:05:27Z,2026-07-22T16:22:10Z,Python,Apache License 2.0,"RWKV (pronounced RwaKuv) is an RNN with great LLM performance, which can also be directly trained like a GPT transformer (parallelizable). We are at RWKV-7 ""Goose"". So it's combining the best of RNN and transformer - great performance, linear time, constant space (no kv-cache), fast training, infinite ctx_len, and free sentence embedding."
GeeeekExplorer/nano-vllm,14604,2349,78,2025-06-09T16:22:14Z,2026-04-26T05:10:12Z,Python,MIT License,Nano vLLM
davisking/dlib,14429,3446,42,2014-01-29T00:45:33Z,2026-07-22T11:44:42Z,C++,Boost Software License 1.0,A toolkit for making real world machine learning and data analysis applications in C++
microsoft/nni,14365,1853,415,2018-06-01T05:51:44Z,2024-07-03T10:55:10Z,Python,MIT License,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural architecture search, model compression and hyper-parameter tuning."
jindongwang/transferlearning,14341,3838,24,2017-04-30T11:32:21Z,2025-02-18T22:06:58Z,Python,MIT License,"Transfer learning / domain adaptation / domain generalization / multi-task learning etc. Papers, codes, datasets, applications, tutorials.-迁移学习"
davidsandberg/facenet,14340,4776,553,2016-02-12T22:14:40Z,2023-07-24T12:43:21Z,Python,MIT License,Face recognition using Tensorflow
dmlc/dgl,14283,3049,610,2018-04-20T14:49:09Z,2025-07-31T23:53:10Z,Python,Apache License 2.0,"Python package built to ease deep learning on graph, on top of existing DL frameworks."
carla-simulator/carla,14204,4634,1181,2017-10-24T09:06:23Z,2026-07-22T16:58:31Z,C++,MIT License,Open-source simulator for autonomous driving research.
janishar/mit-deep-learning-book-pdf,14170,2907,12,2017-04-07T10:46:50Z,2026-02-03T19:27:04Z,Java,,"MIT Deep Learning Book in PDF format (complete and parts) by Ian Goodfellow, Yoshua Bengio and Aaron Courville"
